Klient;2023-11;2023-12;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;Suma_Miesiecy;Wrocil;Typ_Ceny;Staly_Klient;Pierwsza płatność;Ostatnia płatność;Kohorta;Grupa Kohort;Czas dostępu;Zmiana planu;Status_Sub;LTV_Total
84;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;24;0;Standardowa;Tak;2023-12-02;2024-12-02;12.2023;1. Początek;Rok;Stabilne;Wygasły;1494,0
85;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2023-12-06;2023-12-06;12.2023;1. Początek;Rok;Stabilne;Wygasły;891,0
86;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;Promocyjna;Nie;2023-12-08;2024-05-08;12.2023;1. Początek;Miesiąc;Stabilne;Wygasły;316,8
87;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2023-12-12;2023-12-12;12.2023;1. Początek;Rok;Stabilne;Wygasły;990,0
88;0;1;1;0;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;Promocyjna;Nie;2023-12-17;2024-10-23;12.2023;1. Początek;Miesiąc;Stabilne;Wygasły;792,0
89;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;Standardowa;Nie;2023-12-17;2024-06-18;12.2023;1. Początek;Miesiąc;Stabilne;Wygasły;693,0
90;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2023-12-22;2024-11-22;12.2023;1. Początek;Miesiąc;Stabilne;Wygasły;1188,0
91;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2023-12-29;2023-12-29;12.2023;1. Początek;Rok;Stabilne;Wygasły;990,0
92;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;1;Promocyjna;Nie;2024-01-01;2025-03-12;01.2024;1. Początek;Miesiąc;Stabilne;Wygasły;358,55
93;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;Standardowa;Nie;2024-01-02;2024-04-02;01.2024;1. Początek;Miesiąc;Stabilne;Wygasły;356,0
94;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2024-01-03;2024-01-03;01.2024;1. Początek;Rok;Stabilne;Wygasły;890,0
95;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2024-01-03;2024-01-03;01.2024;1. Początek;Rok;Stabilne;Wygasły;890,0
96;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;Standardowa;Nie;2024-01-03;2024-09-03;01.2024;1. Początek;Miesiąc;Stabilne;Wygasły;801,0
97;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;Standardowa;Nie;2024-01-04;2024-10-04;01.2024;1. Początek;Miesiąc;Stabilne;Wygasły;890,0
98;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2024-01-04;2024-01-04;01.2024;1. Początek;Rok;Stabilne;Wygasły;445,0
99;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2024-01-05;2024-01-05;01.2024;1. Początek;Rok;Stabilne;Wygasły;890,0
100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;Standardowa;Nie;2024-01-06;2024-02-14;01.2024;1. Początek;Miesiąc;Stabilne;Wygasły;178,0
101;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2024-01-06;2024-01-06;01.2024;1. Początek;Rok;Stabilne;Wygasły;890,0
102;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2024-01-06;2024-01-06;01.2024;1. Początek;Rok;Stabilne;Wygasły;890,0
103;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;Standardowa;Nie;2024-01-07;2024-04-07;01.2024;1. Początek;Miesiąc;Stabilne;Wygasły;356,0
104;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Standardowa;Nie;2024-01-07;2024-01-07;01.2024;1. Początek;Miesiąc;Stabilne;Wygasły;89,0
105;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;Standardowa;Nie;2024-01-07;2024-02-07;01.2024;1. Początek;Miesiąc;Stabilne;Wygasły;178,0
106;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;Standardowa;Nie;2024-01-07;2024-09-07;01.2024;1. Początek;Miesiąc;Stabilne;Wygasły;801,0
